seed,max_sequence_length,case_name,deviation,distance_function,runtime,precision,recall,f1,states,status,error_message
114,15,distance,,levenshtein,631.9868750572205,0.0015873015873015873,0.02265625,0.002966751918158568,2,success,
28998,15,distance,,levenshtein,2459.437882900238,0.00098543742472353,0.014365522745411013,0.0018443567805727752,2,success,
7239,15,distance,,levenshtein,3079.8954000473022,0.0010892652905615163,0.016680567139282735,0.002044989775051125,2,success,
11517,15,distance,,levenshtein,2896.9002010822296,0.00148604766360284,0.020833333333333332,0.0027742101207295145,2,success,
79820,15,distance,,levenshtein,5134.310630083084,0.0013651504395784414,0.019561815336463225,0.002552192333214231,2,success,
9471,15,distance,,levenshtein,2121.3158581256866,0.0015273838097316168,0.022116903633491312,0.0028574344320849068,2,success,
36624,15,distance,,levenshtein,1427.6666810512543,0.00141643059490085,0.020618556701030927,0.0026507620941020544,2,success,
39871,15,distance,,levenshtein,3477.1358919143677,0.0014216195527366176,0.021294021294021293,0.002665299846232701,2,success,
56085,15,distance,,levenshtein,4274.073721885681,0.0010371745182597304,0.015248796147672551,0.001942243802708919,2,success,
89095,15,distance,,levenshtein,1949.0247139930725,0.0015887799265874103,0.02235929067077872,0.002966751918158568,2,success,
98846,15,distance,,levenshtein,1779.6684699058533,0.0012015292190060076,0.017488076311605722,0.0022485690923957483,2,success,
3075,15,distance,,levenshtein,1913.3273358345032,0.0016976998904709747,0.024143302180685357,0.0031723291035611954,2,success,
39161,15,distance,,levenshtein,3148.6853680610657,0.001369412795793164,0.019904458598726114,0.0025625256252562525,2,success,
8988,15,distance,,levenshtein,3452.782086133957,0.001366792411568531,0.01977848101265823,0.0025568908207619537,2,success,
70332,15,distance,,levenshtein,837.8711998462677,0.001748442793137362,0.02549800796812749,0.0032724855550442297,2,success,
51338,15,distance,,levenshtein,2218.9927608966827,0.001252518651636443,0.018867924528301886,0.002349096108671229,2,success,
31055,15,distance,,levenshtein,1758.3847270011902,0.0010412670575985093,0.015055467511885896,0.0019478189553539392,2,success,
97635,15,distance,,levenshtein,1472.0452609062195,0.0013658963011528166,0.019470404984423675,0.0025527135344871597,2,success,
63198,15,distance,,levenshtein,611.4204571247101,0.0012559384044121661,0.017884914463452566,0.0023470585233940507,2,success,
85303,15,distance,,levenshtein,1397.9270191192627,0.001039899293963111,0.014774494556765163,0.0019430382983075113,2,success,
37843,15,distance,,levenshtein,505.72692012786865,0.0015257192676547515,0.022169437846397466,0.0028549579403517717,2,success,
11298,15,distance,,levenshtein,288.71438121795654,0.0014754904639597793,0.021176470588235293,0.0027587616225605393,2,success,
58656,15,distance,,levenshtein,224.3632299900055,0.0014779943069848916,0.021143304620203602,0.002762854950115119,2,success,
87228,15,distance,,levenshtein,317.20696210861206,0.0013086864060199575,0.019339242546333603,0.0024514811031664963,2,success,
93884,15,distance,,levenshtein,1820.7519781589508,0.0015273004963726614,0.02178988326848249,0.002854521357936589,2,success,
58283,15,distance,,levenshtein,235.052875995636,0.001479695292376829,0.02195121951219512,0.0027725008984956613,2,success,
162,15,distance,,levenshtein,315.9917480945587,0.0009833916083916085,0.014563106796116505,0.001842374616171955,2,success,
93344,15,distance,,levenshtein,1903.1000242233276,0.0012613106663010693,0.018210609659540775,0.002359216329879988,2,success,
32584,15,distance,,levenshtein,1703.7491309642792,0.0018038701213512628,0.024553571428571428,0.003360831041857623,2,success,
65447,15,distance,,levenshtein,2056.5425050258636,0.0016866158868335146,0.02528548123980424,0.0031622972559420585,2,success,
84787,15,distance,,levenshtein,1368.5583789348602,0.0013100436681222707,0.0190325138778747,0.0024513559062356366,2,success,
59934,15,distance,,levenshtein,310.95474886894226,0.0010940320551392157,0.015313935681470138,0.002042170827589728,2,success,
6886,15,distance,,levenshtein,1233.1058039665222,0.001041209995615958,0.01450381679389313,0.0019429389508129665,2,success,
89149,15,distance,,levenshtein,225.96444606781006,0.001198191819617668,0.017501988862370723,0.00224283820980732,2,success,
26253,15,distance,,levenshtein,475.6967511177063,0.0012547051442910915,0.018867924528301886,0.002352941176470588,2,success,
75385,15,distance,,levenshtein,1736.3423418998718,0.0016360364290778208,0.023166023166023165,0.003056234718826406,2,success,
88322,15,distance,,levenshtein,2046.0428681373596,0.0012622797870588882,0.018138801261829655,0.0023603058135358407,2,success,
51134,15,distance,,levenshtein,1518.2688529491425,0.0010905720050166311,0.015723270440251572,0.0020396716128703277,2,success,
68503,15,distance,,levenshtein,287.1139290332794,0.0014722722067724522,0.021739130434782608,0.0027577753945150912,2,success,
29382,15,distance,,levenshtein,1317.2132630348206,0.0017470109734126766,0.0257856567284448,0.003272318232948154,2,success,
45,15,distance,,levenshtein,1511.4320719242096,0.0016895574449531283,0.024162120031176928,0.0031582700830319393,2,success,
69007,15,distance,,levenshtein,2540.1092410087585,0.0013097576948264572,0.01952807160292921,0.0024548662609318265,2,success,
15852,15,distance,,levenshtein,2061.0280709266663,0.001588170865279299,0.022393822393822392,0.002965993352083866,2,success,
79121,15,distance,,levenshtein,804.4568409919739,0.001039330452382255,0.015091342335186657,0.0019447287615148414,2,success,
33653,15,distance,,levenshtein,1441.3619599342346,0.0008734101206397729,0.0129136400322841,0.001636159116474077,2,success,